id|keyword|phonetic_code
2068|handcuffed-to-a-bed|H5321
157|jane-austen|J5235
8309|narcotic|N6232
1059|woods|W32
3991|hanging|H5252
2148|junior-high-school|J5624
6744|hogwarts-express|H2632
7068|hf100|H1
6175|snowing|S52
4292|bicycle-accident|B2423
5875|fishing-pole|F2521
7738|handshake|H532
579|art-gallery|A6324
9915|shaving|S152
8273|saipan|S15
1355|detroit-michigan|D3635
4607|extramarital-affair|E2365
5688|screaming|S2652
9323|domestic-quarrel|D5232
3749|reference-to-barry-white|R1652
9452|hula-hoop|H41
2649|prize|P62
8325|intelligence-mole|I5342
4997|dead-body-in-water|D3135
9052|alternate-version-of-same-incident|A4365
3802|pet-bird|P3163
3127|lock-out|L23
9409|gun-store|G5236
1196|wedding-anniversary|W3525
7812|singer-acting|S5262
9955|bust-of-caesar|B2312
7481|horseshoe|H62
5906|thunder|T536
224|cooking|C252
1310|new-york-yankees|N6252
6698|saber-fencing|S1615
9948|coin-flip|C5141
6534|puppet-maker|P1352
6854|united-nations|U5353
4835|groupie|G61
7814|admiral|A3564
6212|giant-insect|G5352
1535|hero|H6
1884|reporter|R1636
1690|panel-game|P5425
2606|china|C5
83|critically-acclaimed|C6324
2862|kissing|K252
1105|cult|C43
3502|women's-college|W5242
4000|river-of-blood|R1614
6445|body-waxing|B3252
1925|webseries|W1262
5852|controversy|C5361
5607|grade-school|G6324
724|military|M436
4151|fear-of-ghosts|F6123
4805|summons|S52
7981|french-accent|F6525
2674|polaroid-camera|P4632
8062|christmas-eve|C6235
2919|mental-disorder|M5343
3371|expectant-father|E2123
2333|cocaine|C25
2573|comedy-troupe|C5361
5240|car-showroom|C6265
2869|cheating|C352
5106|dna|D5
9414|telescopic-rifle|T4212
8374|toyota-starlet|T3236
238|insecurity|I5263
9131|marriage-for-money|M6216
9597|year-1919|Y6
821|religion-versus-science|R4251
9883|telegraph|T4261
5117|passport|P2163
5720|strike|S362
9050|year-1912|Y6
9613|year-1916|Y6
9757|stabbed-with-a-letter-opener|S3134
5181|garden-center|G6352
264|plastic-surgery|P4232
2538|hurt|H63
5624|meteorologist|M3642
5310|glass|G42
9101|lord|L63
5879|hole|H4
9848|seeking-love|S2524
7624|mother-superior|M3621
9060|framed-picture|F6531
8011|reference-to-the-sphinx|R1652
651|bound-and-gagged|B5353
9919|gold-coin|G4325
5091|locker|L26
4432|victorian-house|V2365
538|caiman|C5
8519|magic-carpet|M2613
2743|swiss-bank-account|S2152
276|cold-open|C4315
9625|sudden-death|S353
